Complaint ID,URL,Title,User,Date,Full Text
pesin-odenen-koltuk-takimi-teslim-edilmedi-ve-bayi-cevap-vermiyor,https://www.sikayetvar.com/bellona/pesin-odenen-koltuk-takimi-teslim-edilmedi-ve-bayi-cevap-vermiyor,Peşin Ödenen Koltuk Takımı Teslim Edilmedi Ve Bayi Cevap Vermiyor,Yaşar,17 Ocak 06:01,"29.11.2025 tarihinde Akkent Mahallesi 134012 numaralı Cadde No:13 AA/27500 adresinde bulunan Bellona bayisinden 80.000 TL bedelle bir koltuk takımı satın aldım. Ödememi peşin olarak yaptım ve işlemin fatura numarası 8211990’dır. Ancak aradan geçen süreye rağmen ürünüm hâlâ tarafıma teslim edilmedi.
İlgili bayiyle defalarca telefonla ulaşmak istedim fakat telefonlarıma kesinlikle cevap verilmiyor. Ne teslimatla ilgili bir bilgilendirme yapılıyor ne de mağazaya ulaşabiliyorum. Peşin ödeme yaptığım bir ürünün bu kadar uzun süre teslim edilmemesi ve iletişimsiz bırakılmam beni ciddi anlamda mağdur ediyor.
Koltuk takımımın en kısa süre içinde adresime teslim edilmesini ve tarafıma net bir teslimat tarihi verilmesini talep ediyorum."
bellona-subesinden-bir-yillik-bekleyis-sonrasi-yemek-masasi-teslim-edilmedigi-icin-sikayet,https://www.sikayetvar.com/bellona/bellona-subesinden-bir-yillik-bekleyis-sonrasi-yemek-masasi-teslim-edilmedigi-icin-sikayet,BellonaŞubesinden Bir Yıllık Bekleyiş Sonrası Yemek Masası Teslim Edilmediği İçin Şikayet,Semih,17 Ocak 00:15,"Ocak 2025’te Bellona Maltepe İdealtepe İstanbul şubesinden Çorum Osmancık ilçesine teslim edilmek üzere bir yemek masası siparişi verdim. Aradan yaklaşık bir yıl geçmesine rağmen ürünüm hâlâ tarafıma teslim edilmedi.
Ödememi kredi kartıyla taksitli olarak yaptım ve taksitlerim çoktan bitti, ancak ortada ne ürün var ne de net bir teslimat tarihi veriliyor. Mağaza ve şube tarafından sürekli olarak ürünün geleceği söylenmesine rağmen somut hiçbir adım atılmadı. Ayrıca şubenin bana verdiği telefon numarasına artık ulaşamıyorum, aramalarıma bakılmıyor.
Hem ürünümün bir yıldır teslim edilmemesi hem de muhatap bulamıyor olmam sebebiyle ciddi anlamda mağdur oldum. Yemek masası siparişimin acilen ve eksiksiz şekilde teslim edilmesini ve bu uzun süredir yaşadığım mağduriyetin Bellona tarafından giderilmesini talep ediyorum."
garanti-servisinden-yanitsizlik-ve-yatakta-suren-ses-sorunu,https://www.sikayetvar.com/bellona/garanti-servisinden-yanitsizlik-ve-yatakta-suren-ses-sorunu,Garanti Servisinden Yanıtsızlık Ve Yatakta Süren Ses Sorunu,Betül,16 Ocak 17:54,"B****** T**** Y****** şubesinden 31 Mayıs 2023 tarihinde Soft Selection Pro-5 160X200 (27ssp0160200700) yatak aldım. Kısa süre sonra yatağın kulpu koptu ve yataktan ses gelmeye başladı. Garanti kapsamında kayıt açtırdım ve ağustos ayında servis eve gelerek inceledi, kulp için sipariş geçtiklerine dair daha sonra bir mesaj aldım.
Ancak o günden bu yana ne arayan ne soran oldu. 3 Eylül’de tekrar görüştüm, sonrasında da yaklaşık iki üç ay önce yeniden aradım, her seferinde “size dönüş yapılacak” denmesine rağmen hiçbir şekilde geri dönüş yapılmadı. Şu anda hem kulp hâlâ takılmadı hem de yataktan gelen ses problemi aynen devam ediyor.
Garanti kapsamında, en kısa sürede yatağın kulpunun takılmasını ve ses sorununun giderilerek ürünün sorunsuz hale getirilmesini talep ediyorum."
iptal-talebim-reddedildi-kapora-iadesi-ve-saygisiz-davranis-sikayetim-1,https://www.sikayetvar.com/bellona/iptal-talebim-reddedildi-kapora-iadesi-ve-saygisiz-davranis-sikayetim-1,"İptal Talebim Reddedildi, Kapora İadesi Ve Saygısız Davranış Şikayetim",Samet,16 Ocak 18:55,"25.12.2025 tarihinde Ordu Fatsa’da bulunan Işık Mobilya Bellona mağazasından Estella yemek odası ve Estella koltuk takımı siparişi verdim. Toplam tutar 185.000 TL olarak belirlendi ve 5.000 TL kaporayı tek çekim olarak ödedim. Sipariş oluşturulurken, 07.01.2026 tarihine kadar ürün içeriğinde değişiklik yapabileceğim, hatta herhangi bir olumsuzluk durumunda siparişi iptal edebileceğim özellikle ifade edildi.
Ailevi nedenlerden dolayı 28.12.2025 tarihinde mağazayı arayarak siparişi iptal etmek istediğimi bildirdim ancak kesinlikle iptal edemeyeceklerini söylediler. Bunun üzerine 29.12.2025’te bizzat mağazaya giderek iptal talebimi tekrarladım fakat yine olumsuz ve sert bir tavırla karşılaştım. 30.12.2025 tarihinde Tüketici Hakem Heyeti'ne başvurarak ihbarname gönderdim. Tüm bunlara rağmen, henüz teslim etmedikleri ürünlerin bedeli olan kalan 180.000 TL’nin tamamını talep etmeye devam ediyorlar ve ocak ayı sonuna kadar ödeme yapmazsam mahkemeye başvuracaklarını söylüyorlar.
Bu süreçte mağazaya 6 kez gittim, defalarca telefonla aradım. Görüşmeler sırasında anneme yönelik hakaretvari söylemlerle de karşılaştık, bu durum bizi hem manevi olarak yıprattı hem de mağazaya olan güvenimizi tamamen sarstı. Hem sipariş sırasında verilen sözlerin tutulmaması hem de sonrasında sergilenen olumsuz ve saygısız tutum nedeniyle büyük mağduriyet yaşıyorum.
Siparişimin iptal edilmesini ve ödediğim 5.000 TL kaporanın tarafımaiadeedilmesini talep ediyorum. Eğer bu mümkün görülmüyorsa, en azından ödediğim kapora tutarı kadar bir ürün seçerek mağduriyetimin makul ve hakkaniyetli şekilde giderilmesini istiyorum."
kirli-ve-ayipli-oturma-grubu-icin-tam-iade-ve-degisim-talebi,https://www.sikayetvar.com/bellona/kirli-ve-ayipli-oturma-grubu-icin-tam-iade-ve-degisim-talebi,Kirli Ve Ayıplı Oturma Grubu İçin Tam İade Ve Değişim Talebi,Ebru,16 Ocak 17:16,"Malatya Yeşilyurt Özgüçlü Bellona mağazasından Veronica oturma grubu satın aldım. Ürün 28.10.2025 tarihinde teslim edildi ancak oturma grubu kirli ve bariz şekilde ayıplı olarak geldi. Teslimat anından itibaren bu durumu hemen mağazaya ilettim.
İlk görüşmemizde ürünün değiştirileceği söylendiği için buna güvenerek süreci bekledim. Ancak daha sonra herhangi bir değişim yapılmadan, son kalan taksitin ödenmesini istemeye başladılar. Hem ayıplı ürün teslim edilmesi hem de başta verilen değişim sözünün sonradan ödeme talebine dönüştürülmesi nedeniyle mağdur oldum.
Dse2025000001234 numaralı alışverişime ait bu oturma grubunun, teslim edildiği gibi kirli ve ayıplı olması sebebiyle ürünün tamamen geri alınmasını ve ödediğim bedelin tamamının tarafıma iade edilmesini talep ediyorum. Bu süreç netleşmeden de kalan taksit ödemesi konusunda benden ısrarla talepte bulunulmamasını istiyorum. Yaşadığım mağduriyetin en kısa sürede giderilmesini rica ediyorum."
nadia-koltuk-takiminin-teslimati-surekli-erteleniyor-ve-belirsiz-kaliyor,https://www.sikayetvar.com/bellona/nadia-koltuk-takiminin-teslimati-surekli-erteleniyor-ve-belirsiz-kaliyor,Nadia Koltuk Takımının Teslimatı Sürekli Erteleniyor Ve Belirsiz Kalıyor,Ozlem,16 Ocak 17:03,"Bellona Bağcılar Yenigün Mahallesi No:155A bayisinden Nadia koltuk takımı (3’lü, 2’li, 2 adet tekli berjer ve orta sehpa, Pandora kumaş rengi) satın aldım. Özel üretim olduğu, en geç 4 ila 6 hafta içinde teslim edileceği belirtildi ve 30.11.2025 tarihinde ödemesini yaparak siparişimi verdim. Ancak aradan geçen süreye rağmen halen teslimat konusunda ciddi bir sorun var.
Şu an için takımın sadece bir kısmının hazır olduğu, hazır olan ürünlerin ocak ayının 4. Haftasında teslim edilebileceği, kalan 2 berjerin ise hâlâ üretimde olduğu ve şubatın 1. Haftasında tamamlanacağı bilgisi veriliyor. Sonuç olarak, yaklaşık 3 ay süren bir teslimat süreciyle karşı karşıya kalmam, “marka” olduğunu iddia eden bir işletmeye hiç yakışmayan bir durumdur.
Mağaza ile defalarca iletişime geçmeme rağmen, merkez fabrikadan bilgi aldıklarını, sürece müdahale edemediklerini belirtmekle yetindiler. Net bir tarih verilmemesi ve sürekli ötelenecekmiş hissi yaşamam beni oldukça mağdur etti.
Talebim, 20.01.2026 tarihinde, yani ocak ayının 4. Haftasında, koltuk takımımın tüm parçalarının eksiksiz ve sorunsuz şekilde tarafıma teslim edilmesi ve verilen tarihin artık netleştirilmesidir. Teslimat tarihinin yeniden ertelenmesini ve belirsiz bırakılmasını kesinlikle kabul etmiyorum, sürecin acilen çözüme kavuşturulmasını istiyorum."
bellonadan-ucretini-odedigim-televizyonun-teslimati-icin-kesin-tarih-talebi,https://www.sikayetvar.com/bellona/bellonadan-ucretini-odedigim-televizyonun-teslimati-icin-kesin-tarih-talebi,Bellona'dan Ücretini Ödediğim Televizyonun Teslimatı İçin Kesin Tarih Talebi,İbrahim,16 Ocak 13:07,"21.11.2025 tarihinde Ankara Bulvarpark Bellona bayisinden toplam 347.000 TL tutarında bir mobilya seti vekampanyakapsamında bir televizyon satın aldım. Satış sırasında, televizyonu mobilyalarla birlikte alırsam kampanyalı olacağı ve bu şekilde daha uygun fiyata geleceği söylendi. Televizyon bana bedava verilmedi,indirimli de olsa ücretini ödeyerek satın aldım ve ödemem mobilya toplamına dahil edilerek taksitli şekilde yapıldı.
Mobilyalar belirtilen zamanda teslim edildi; ancak Samsung 65 inç ekran QLED Smart TV için düzenlenen ayrı sipariş formunda muhtemel teslim tarihi 20.12.2025 yazmasına rağmen, bugün 16.01.2026 olmasına karşın televizyon hâlâ teslim edilmedi. Bayi ile görüştüğümde, konunun kendileriyle ilgili olmadığını, firmanın süreci olduğunu söyleyerek yardımcı olamayacaklarını belirttiler ve net bir çözüm üretilmedi.
Bellonamüşteri hizmetlerini aradığımda ise ürünün kampanyalı olduğu için yapılacak bir şey olmadığını ifade ettiler. Şikayet kaydı oluşturmak istediğimde dahi kampanyalı ürünler için şikayet kaydı açamadıklarını söylediler. Ücretini ödediğim bir ürün için bu şekilde oyalanmam ve sistemde şikayet kaydı bile açılamaması, kurumsal bir firmaya yakışmayan bir tutumdur.
Uzun süredir bekletilmeme rağmen hâlâ kesin bir teslim tarihi verilmiyor; sadece yaklaşık tarihlerden bahsediliyor ve net bir muhatap bulamıyorum. Bu süreç nedeniyle Bellona’dan alışveriş yaptığıma pişman oldum.
Kampanya bahanesiyle sorumluluktan kaçılmadan, ücretini ödediğim televizyonun net ve kesin bir tarih verilerek en kısa sürede tarafıma teslim edilmesini talep ediyorum. Ayrıca benzer pek çok şikâyete rastlamam nedeniyle, tüketicilerin daha fazla mağdur olmaması için Ticaret Bakanlığı’na ve Tüketici Hakem Heyeti’ne başvurmayı düşündüğümü, sürecin gidişatına göre yasal haklarımı kullanacağımı da belirtmek isterim. Sipariş veya fatura numaramı, firma benimle iletişime geçtiğinde paylaşmaya hazırım."
bellona-koltugumun-sirt-tarafinda-cokukluk-olustu-video,https://www.sikayetvar.com/bellona/bellona-koltugumun-sirt-tarafinda-cokukluk-olustu-video,BellonaKoltuğumun Sırt Tarafında Çöküklük Oluştu!,Dilek,16 Ocak 08:25,
az-kullanima-ragmen-kirilan-sandalyeler-icin-ucretsiz-onarim-ve-degisim-talebi,https://www.sikayetvar.com/bellona/az-kullanima-ragmen-kirilan-sandalyeler-icin-ucretsiz-onarim-ve-degisim-talebi,Az Kullanıma Rağmen Kırılan Sandalyeler İçin Ücretsiz Onarım Ve Değişim Talebi,Sümeyye,16 Ocak 00:44,"Nizamlar Bellona Ümraniye Dudullu şubesinden yaklaşık bir buçuk yıl önce aldığım sandalye takımında ciddi sorunlar yaşıyorum. Sandalyeleri sürekli kullanmıyorum, sadece misafir geldiğinde kullanmama rağmen önce bir sandalye misafir varken durduk yere kırıldı, şimdi de başka bir sandalyenin ayağı kırıldı. Ürünün bu kadar az kullanımda bile kırılması, iskeletinin ve kalitesinin ne kadar zayıf olduğunu gösteriyor ve açıkçası güvenle oturmaya çekinir hale geldik.
Ürünü aldığım dönemde zaten renk konusunda da sorun yaşamıştım ve bir de geç teslim edilmişti. Buna rağmen ihtiyacım olduğu için o zaman ürünü kabul etmek zorunda kaldım. Şimdi de kırılmalar başlayınca Nizamlar Bellona ile görüştüğümde, bana bunun kendileriyle alakalı olmadığı, sorunu ancak ücretli olarak yapabilecekleri söylendi. Az kullanılan bir ürünün bu şekilde kırılmasını kullanıcı hatası gibi göstermeye çalışmalarını ve çözümü tamamen ücretli onarıma bağlamalarını kesinlikle kabul etmiyorum.
Kırılan sandalyelerimin ücretsiz olarak onarılmasını ya da mümkünse sandalyelerin/takımın değiştirilmesini, mağduriyetimin giderilmesini talep ediyorum. Resimler elimde mevcut, istenirse paylaşabilirim. Ürünün arkasında durulmasını ve tarafıma makul, müşteri memnuniyetini esas alan bir çözüm sunulmasını rica ediyorum."
bellona-magazasindan-hasarli-yemek-masasi-ust-tablasi-30-gun-boyunca-degistirilmedi,https://www.sikayetvar.com/bellona/bellona-magazasindan-hasarli-yemek-masasi-ust-tablasi-30-gun-boyunca-degistirilmedi,BellonaMağazasından Hasarlı Yemek Masası Üst Tablası 30 Gün Boyunca Değiştirilmedi,Kazım,15 Ocak 22:52,"İzmir Balçova Bellona mağazasından Ekim 2025 tarihinde koltuk takımı ile birlikte yemek masası takımı satın aldım. 12 Aralık günü ürünlerin teslimine geldiklerinde yemek masasının üst tablalarında belirgin deformasyon ve eziklikler olduğunu gördüm. Bu durumu teslim tutanağına işleterek özellikle belirttik ve üst tablaların değiştirileceği bilgisi verildi.
17 Aralık’ta diğer ürünlerdeki eksikler için tekrar ekip geldi ancak bu kez masanın değişmesi gereken üst tablalarının hiç gönderilmediğini, fabrikadan sevkiyat beklediklerini söylediler. O günden bu yana yaklaşık 30 gündür herhangi bir işlem yapılmadı, ne arayan oldu ne de bir çözüm sunuldu. Siparişin üzerinden yaklaşık 2,5 ay geçmesine rağmen hem eksik parçalar hem de hasarlı masa üst tablaları halen tamamlanmadı.
Bu süreçte mağaza ile görüştüğümde her seferinde fabrikaya sipariş geçildiği ve sevkiyat beklendiği söyleniyor ancak somut hiçbir adım atılmıyor. 1215683810 numaralı sipariş/fatura kaydım üzerinden, yemek masası takımının hasarlı olan üst tablalarının acilen, sıfır ve ayıpsız parçalarla değiştirilmesini talep ediyorum. Bu süreç biraz daha uzar ve sorun çözülmezse yemek masası takımınıniadesini ve ödediğim bedelin tarafıma geri ödenmesini istiyorum.
Uzun süredir bekletilmek ve her seferinde sadece “sevkiyat bekleniyor” cevabını duymak, Bellona gibi kurumsal olduğunu düşündüğüm bir markadan büyük bir hayal kırıklığı yaşamama neden oldu. Şikayetimin ivedilikle değerlendirilerek mağduriyetimin giderilmesini rica ediyorum."
yanlis-yastik-teslimati-ve-uzayan-cozum-sureci,https://www.sikayetvar.com/bellona/yanlis-yastik-teslimati-ve-uzayan-cozum-sureci,Yanlış Yastık Teslimatı Ve Uzayan Çözüm Süreci,Bedri,15 Ocak 15:18,"Bellona’dan Diyarbakır Ceylan AVM şubesinden aldığım koltuk takımında, koltuklarla birlikte gelen yastıklar yanlış ve farklı şekilde teslim edildi. Durumu hemen ilettim ve yastıkların değişip doğru ürünlerin getirilmesi gerektiği söylendi, ancak 1 haftadan fazla süredir sürekli oyalanıyorum ve hiçbir somut adım atılmadı.
Yanlış gelen yastıkların bir an önce alınarak, koltuk takımıma ait doğru yastıkların gecikmeden evime teslim edilmesini istiyorum. Sürecin uzatılmadan, net bir tarih verilerek çözülmesini talep ediyorum. Bu yaşadığım süreçten dolayı bir daha Bellona’dan alışveriş yapmayı düşünmüyorum."
